name,quadrant_conf,block_conf
Реновация АМКК ПТЖТ (ЗФ),0.416,0.5279
"Нерастворимые аноды с покрытием на основе Pd, Ir, Ru для производства никеля и кобальта методом электроэкстракции (спецоснастка)",0.416,0.6498
"ИТ-идея по реновации процессов контрактования и закупки, лицензирования, налоговыми декларациями и претензионной работы",0.416,0.5046
СмартСнаб. Внедрение системы планирования и обеспечения потребности в МТР по уровню запасов,0.416,0.9907
Реновация существующей беспроводной сетевой ИТ-инфраструктуры АСУ ОГР,0.416,0.5461
Реновация АСМ р.Октябрьский (ЗФ),0.416,0.6232
Реновация АСМ р.Маяк (ЗФ),0.416,0.7138
Реновация АСКУЭ ш.Известняков (НОК),0.416,0.6004
Реновация АСКУЭ ш.Ангидрит (НОК),0.416,0.687
Реновация АСКУЭ ЦЗ (НОК),0.416,0.6377
Реновация АСКУЭ р.Комсомольский (ЗФ),0.416,0.6127
Реновация АСКУВ р.Маяк (ЗФ),0.416,0.5269
Реновация АСДУ УХГЭС (НТЭК),0.416,0.6309
Реновация АСУ ВУ КС-3 Howden р.Таймырский (ЗФ),0.416,0.5163
Реновация АСОДУ ш.Ангидрит (НОК),0.416,0.6877
Реновация АСОДУ р.Таймырский (ЗФ),0.416,0.6206
Реновация АСОДУЭ НМЗ (ЗФ),0.416,0.6418
Реновация АСМ р.Скалистый (ЗФ),0.416,0.7055
Реновация АСУ ГВ №2 ш.Известняков (НОК),0.416,0.6228
Реновация АСУ ГВ №1 ш.Известняков (НОК),0.416,0.6173
Реновация АСУ ГВУ ВС-9 р.Скалистый (ЗФ),0.416,0.7152
Реновация АСОП ш.Известняков (НОК),0.416,0.6074
Реновация АСОП ш.Ангидрит (НОК),0.416,0.6914
Реновация АСОП р.Таймырский (ЗФ),0.416,0.6247
Реновация АСОП р.Скалистый (ЗФ),0.416,0.706
Реновация АСОП р.Октябрьский (ЗФ),0.416,0.6235
Реновация АСОП р.Маяк (ЗФ),0.416,0.7135
Реновация АСОП р.Комсомольский (ЗФ),0.416,0.6214
Реновация АСОДУ ш.Известняков (НОК),0.416,0.6109
Реновация АСУ вентиляторной ВЗС-1 р.Скалистый (ЗФ),0.416,0.6976
Реновация АСУ ВУ ВС-7 Howden р.Таймырский (ЗФ),0.416,0.5191
Реновация АСУ ВУ ВПС Howden р.Таймырский (ЗФ),0.416,0.6921
Реновация АСУ вентиляторной ВСС-1 р.Скалистый (ЗФ),0.416,0.6965
Реновация АСУ вентилятора Howden №1 р.Скалистый (ЗФ),0.416,0.5146
Реновация АСУ вентилятора Howden №2 р.Скалистый (ЗФ),0.416,0.5164
Реновация АСУ ВВУ ш.Ангидрит (НОК),0.416,0.6899
Реновация АСУ ИС ЦРММ (ГРКБ),0.416,0.6398
Реновация АСУ КЩХ ТЭЦ-3 (НТЭК),0.416,0.5244
Реновация АСУ конвейерного тракта ЦВС р.Северный (КГМК),0.416,0.5158
Реновация АСУ КПЭ,0.416,0.7419
Реновация АСУ КП ВС-9 р.Скалистый (ЗФ),0.416,0.7147
Реновация АСУ вагонных весов. СК (ГРКБ),0.416,0.6226
Реновация АСУ АУПВ ТЭЦ-1 (НТЭК),0.416,0.5208
Реновация СВК 4Г УХГЭС (НТЭК),0.416,0.6338
Реновация СВК 5Г УХГЭС (НТЭК),0.416,0.5203
Реновация ВМ-П-СО р.Комсомольский (ЗФ),0.416,0.5152
Реновация АУПТ ш.Известняков (НОК),0.416,0.6049
Реновация АУПТ р.Таймырский (ЗФ),0.416,0.6182
Реновация АУПТ ш.Ангидрит (НОК),0.416,0.6883
Реновация ИС FuelMass,0.416,0.4788
Реновация ЭЦ ПТЖТ (ЗФ),0.416,0.6338
Реновация ЦВС стволовая сигнализация клетьевой машины р.Северный (КГМК),0.416,0.5101
Реновация Geovia Surpac-1,0.416,0.713
Реновация УВК АДВ УХГЭС (НТЭК),0.416,0.6263
Реновация АСУ ИС РММ (ГРКБ),0.416,0.6433
Реновация АСУ ИС БСХР (ГРКБ),0.416,0.6361
Реновация АСУ ИС АВТ (ГРКБ),0.416,0.6366
Реновация АСУ ИС АБЗ (ГРКБ),0.416,0.6363
Реновация АСУ ЗГВУ №2 ш.Ангидрит (НОК),0.416,0.6866
Реновация АСУ ЗГВУ №1 ш.Ангидрит (НОК),0.416,0.6883
Реновация АСУ комплекса загрузки скипов ЦВС (-413 м.) р.Северный (КГМК),0.416,0.5154
Реновация АСУ ГРП2 ТЭЦ-1 (НТЭК),0.416,0.7078
Реновация АСУ ГРП1 ТЭЦ-1 (НТЭК),0.416,0.7108
Реновация АСУ ГВ ш.Ангидрит (НОК),0.416,0.6916
Реновация АСУ УССНР ЦЭН (КГМК),0.416,0.5361
Реновация АСУ УК ш.Ангидрит (НОК),0.416,0.6907
Реновация АСУ УВ ш.Ангидрит (НОК),0.416,0.6904
Реновация АСУ турбокомпрессорной р.Скалистый (ЗФ),0.416,0.5265
Реновация АСУ СЦБ 440 р.Северный (КГМК),0.416,0.5315
Реновация АСУ СЦБ 320 р.Северный (КГМК),0.416,0.7101
Реновация АСУ скиповая подъемная машина ЦВС р.Северный (КГМК),0.416,0.5123
Реновация АСУ СВК КГЭС (НТЭК),0.416,0.6353
Реновация АСУ промывкой дозаторов реагентов ОФ (КГМК),0.416,0.7088
Реновация АСУ ПА КГЭС (НТЭК),0.416,0.6378
Реновация АСУ ПАЭС-2500 ССГКМ (Норильскгазпром),0.416,0.5181
Реновация АСУ НПС р.Скалистый (ЗФ),0.416,0.7094
Реновация АСУ двумя вентагрегатами р.Комсомольский (ЗФ),0.416,0.7525
Реновация АСУ НПСиК КС р.Комсомольский (ЗФ),0.416,0.6102
Реновация АСУ НПСиК ЗЗС р.Комсомольский (ЗФ),0.416,0.6108
Реновация АСУ насосная гор. -440 м. р.Северный (КГМК),0.416,0.6961
Реновация АУПТ р.Скалистый (ЗФ),0.416,0.7037
Реновация АУПТ р.Октябрьский (ЗФ),0.416,0.6206
Реновация АУПТ р.Комсомольский (ЗФ),0.416,0.6145
Реновация АС СВМ МЗ (ЗФ),0.416,0.7126
Реновация АС вибромониторинга ЦЗ (НОК),0.416,0.7071
Реновация АСУ Proscon 2100P ТОФ (ЗФ),0.416,0.5234
Реновация АСУ BMS ОФ (ГРКБ),0.416,0.5318
Реновация АСУ ЭС. РП-10 кВ №2 (ГРКБ),0.416,0.7075
Реновация АСУ ЭС. РП-10 кВ №1 (ГРКБ),0.416,0.707
Реновация АСУ ЭС. ПС 35кВ «Поселок» (ГРКБ),0.416,0.6245
Реновация АСУ ЭС. ПС 110кВ «Промплощадка» (ГРКБ),0.416,0.6278
Реновация АСУ ЭС РТП-7 (ГРКБ),0.416,0.721
Реновация АСУ ЭС РТП-2 (ГРКБ),0.416,0.7162
Реновация АСУ ЭС РТП-1 (ГРКБ),0.416,0.7188
Реновация АСУ электрофильтрами АТУ-2 ЦЗ (НОК),0.416,0.5225
Реновация АСУ электрофильтрами АТУ-1 ЦЗ (НОК),0.416,0.6983
Реновация ПА ЭС (НТЭК),0.416,0.6329
Реновация НОФ ВИС (МР),0.416,0.6306
Реновация ЛАСУ РФА меди ОФ (ГРКБ),0.416,0.7105
Реновация ЛАСУ АБК ГОК (ГРКБ),0.416,0.6366
Реновация ГРАРМ УХГЭС (НТЭК),0.416,0.6315
Реновация ГГУ УРП-1 р.Заполярный (МР),0.416,0.6886
Реновация ВМ-П-СО ш.Известняков (НОК),0.416,0.5192
